 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
6704.0,387.05451812373934,149811.2,6784.0,6192,7120,358.4,-18083.2,2928.819994468762,8577986.56,-18496.0,-21520,-13808,2626.56,15344.0,3480.255622795544,12112179.2,14992.0,10656,20304,3052.8,24645.16330317168,Shake
1926.4,3056.856005768017,9344368.639999997,3488.0,-2592,5440,2872.32,-15651.2,5143.649381518922,26457128.96,-16512.0,-21392,-7648,4559.36,12124.8,6524.519856663785,42569359.36,13024.0,1920,19968,5693.440000000001,19891.753402855167,Shake
-12841.6,5943.129734407621,35320791.04,-14736.0,-18928,-3184,5345.280000000002,14185.6,12846.81279695474,165040599.04000002,12944.0,-2240,32080,11435.52,-8624.0,4183.93116578177,17505280.0,-9200.0,-13824,-2432,3712.0,20988.361391971503,Shake
-14956.8,2289.854353446961,5243432.959999999,-15472.0,-17408,-10624,1733.1200000000006,23433.6,11972.767392712514,143347159.04000002,31648.0,2192,32640,10644.48,-7184.0,2767.731778912111,7660339.199999998,-6176.0,-11824,-3968,2425.6,28713.225719169903,Shake
2137.6,6300.389626046947,39694909.43999999,6128.0,-6224,8080,6126.08,-26361.6,8571.094716545842,73463664.64000002,-31968.0,-32624,-10464,7246.08,7939.2,18679.426526529132,348920975.36000013,-3440.0,-9616,32416,18154.24,27614.021528201934,Shake
8307.2,4198.729255381919,17629327.360000007,9296.0,1248,13472,3548.16,-20073.6,12325.968839811336,151929507.84,-23328.0,-32624,-272,11034.88,11481.6,15482.248849569623,239700029.44,8400.0,-7344,32640,14174.72,24572.059892487643,Shake
-9676.8,2689.835563747345,7235215.36,-10832.0,-11856,-4528,2090.24,25344.0,9344.564366518109,87320883.20000002,31952.0,9152,32640,8467.2,-14329.6,4895.964444315338,23970467.84,-14160.0,-20288,-8176,4382.719999999998,30680.551337940466,Shake
-2374.4,6710.031463413566,45024522.24,-2032.0,-11168,8720,5345.280000000002,-4377.6,25020.119596836466,626006384.64,-8640.0,-32400,31056,22778.88,-6630.4,11762.14228106428,138347991.04000002,-11680.0,-17696,15056,9713.920000000002,8292.367652245046,Shake
10950.4,2604.976898170116,6785904.639999998,11808.0,6912,14112,2353.92,-21990.4,10697.048146100868,114426839.04,-25568.0,-32624,-6064,9937.92,22195.2,12471.19443197002,155530690.56000003,31472.0,2000,32592,11720.96,33107.640437820395,Shake
-4006.4,4034.21653360352,16274903.039999995,-6688.0,-7600,1600,3915.52,20745.6,11643.342365489387,135567421.44,24608.0,1056,32592,10266.88,-12352.0,6137.354739625208,37667123.2,-11680.0,-20640,-4048,5452.8,24474.53910332123,Shake
